x,y
189752.11114518557,553919.3219607557
189751.75628618803,553919.5876412117
189751.3796582412,553919.8214010306
189750.9841222553,553920.0214646753
189750.572684412,553920.1863115012
189750.14847032964,553920.3146904721
189749.7147032417,553920.4056258786
189749.27467872814,553920.4584282434
189748.83173963614,553920.4726966589
189748.38925153614,553920.4483235183
189747.95057591723,553920.3854934335
189747.51904565547,553920.2846851317
189747.0979389869,553920.1466651665
189746.69045536203,553919.9724821588
189746.29969021524,553919.7634595695
189745.92861210127,553919.5211871425
189745.56873503703,553919.2393752569
189743.35861875265,553917.2119223987
189741.1498877183,553915.1861241844
189740.10072681145,553914.223842116
189662.67507995543,553830.5014304664
189660.5476174206,553828.4182179623
189658.41388186396,553826.3289700095
189656.2801501068,553824.2397221691
189654.1464154402,553822.1504771751
189654.08261894385,553822.0880690123
189651.90445735876,553820.0356485875
189650.77798444298,553818.9764119636
189648.58569503148,553816.9563636398
189646.6968402623,553815.224794672
189644.48492574718,553813.2166266721
189642.2697670271,553811.2101397557
189640.53823836808,553809.6426571117
189638.32410319455,553807.6366882634
189636.11820926526,553805.6384261155
189633.90195306088,553803.6321730115
189633.46501752548,553803.2366503418
189632.35512152576,553802.2270594747
189631.2452255255,553801.2174686139
189629.02760093263,553799.200905856
189626.8089267167,553797.1917553473
189624.8844752759,553795.4498856361
189622.6663743942,553793.4486102153
189620.44480751263,553791.4442041961
189618.77892550945,553789.9192555858
189617.3350975598,553788.5982048939
189615.89126961303,553787.2771542133
189660.27008572692,553832.9613878115
189658.12075704234,553830.8914551393
189655.96898362326,553828.819250092
189653.81721210002,553826.7470470231
189651.67456227707,553824.6837527982
189650.5824885317,553823.6545927456
189649.49041478275,553822.6254327
189647.30976694752,553820.5770814971
189646.4181143785,553819.7433990284
189644.22717632525,553817.7067454563
189642.39172679782,553816.003451411
189640.19351843177,553813.9791516233
189638.55201376486,553812.4675126112
189636.35155652757,553810.4471000857
189634.1474502301,553808.4272820356
189631.9423740868,553806.4153000896
189631.54102345902,553806.0494171728
189629.33343835582,553804.0374750559
189627.1238314527,553802.0241160248
189624.91283701808,553800.0137041669
189623.25901833878,553798.509921714
189621.04724853366,553796.5034944268
189618.8440029797,553794.5049198479
189617.73233114838,553793.4942762061
189616.62065931808,553792.4836325876
189614.72837134753,553790.7582337768
189613.60541328794,553789.7343156934
189657.89954417996,553835.3427465914
189655.75354487167,553833.2826284652
189653.59674012853,553831.2121875156
